Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2020 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Southern Severe Storms and Flooding (April 1980)","Flooding",19800410,19800417,2360.6,7
"Hurricane Allen (August 1980)","Tropical Cyclone",19800807,19800811,1970.6,13
"Central/Eastern Drought/Heatwave (Summer-Fall 1980)","Drought",19800601,19801130,33466.8,1260
"Florida Freeze (January 1981)","Freeze",19810112,19810114,1710.3,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)","Severe Storm",19810505,19810510,1200.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)","Winter Storm",19820108,19820116,1827.2,85
"Midwest/Plains/Southeast Tornadoes (April 1982)","Severe Storm",19820402,19820404,1333.6,33
"Severe Storms (June 1982)","Severe Storm",19820531,19820610,1324.5,30
"Gulf States Storms and Flooding (December 1982-January 1983)","Flooding",19821201,19830115,4239.7,45
"Western Storms & Flooding (December 1982-March 1983)","Flooding",19821213,19830331,4138.8,50
"Hurricane Alicia (August 1983)","Tropical Cyclone",19830817,19830820,7980.0,21
"Southeast Drought (Summer 1983)","Drought",19830601,19830831,7884.5,0
"Freeze, Cold Wave (December 1983)","Freeze",19831215,19831225,5336.0,151
"Tornadoes, Severe Storms, Floods (Spring 1984)","Severe Storm",19840327,19840407,1537.8,80
"Severe Storms and Hail (June 1984)","Severe Storm",19840613,19840617,1137.8,1
"Florida Freeze (January 1985)","Freeze",19850120,19850122,2964.0,0
"Winter Storm, Cold Wave (January 1985)","Winter Storm",19850119,19850122,2067.7,150
"Hurricane Elena (September 1985)","Tropical Cyclone",19850830,19850903,3204.6,4
"Hurricane Gloria (September 1985)","Tropical Cyclone",19850926,19850928,2114.6,11
"Hurricane Juan (October 1985)","Tropical Cyclone",19851027,19851031,3696.9,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)","Flooding",19851103,19851108,3346.0,62
"Western Severe Storms and Flooding (February 1986)","Severe Storm",19860214,19860216,1255.6,13
"Southeast Drought/Heatwave (Summer 1986)","Drought",19860601,19860831,4274.6,100
"U.S. Drought/Heatwave (Summer 1988)","Drought",19880601,19880831,45008.9,454
"Severe Storms (May 1989)","Severe Storm",19890501,19890506,1185.8,21
"Hurricane Hugo (September 1989)","Tropical Cyclone",19890921,19890922,19349.8,86
"Northern Plains Drought (Summer-Fall 1989)","Drought",19890601,19891130,6456.9,0
"Florida Freeze (December 1989)","Freeze",19891223,19891225,4300.0,10
"Winter Storm, Cold Wave (December 1989)","Winter Storm",19891221,19891226,1462.5,100
"Southern Flooding (May 1990)","Flooding",19900511,19900519,2054.1,13
"Colorado Hail Storm (July 1990)","Severe Storm",19900711,19900711,1672.9,0
"California Freeze (December 1990)","Freeze",19901218,19901225,6936.0,0
"Severe Storms, Tornadoes (March 1991)","Severe Storm",19910326,19910329,1245.1,0
"Hurricane Bob (August 1991)","Tropical Cyclone",19910818,19910820,2900.6,18
"U.S. Drought (Spring-Summer 1991)","Drought",19910301,19910831,5806.5,0
"Oakland Firestorm (October 1991)","Wildfire",19911001,19911031,6369.0,25
"Severe Storms (March 1992)","Severe Storm",19920324,19920325,1512.1,0
"Hail, Tornadoes (April 1992)","Severe Storm",19920428,19920429,1794.3,0
"Severe Storms, Hail (June 1992)","Severe Storm",19920619,19920620,1406.3,0
"Hurricane Andrew (August 1992)","Tropical Cyclone",19920823,19920827,50760.0,61
"Hurricane Iniki (September 1992)","Tropical Cyclone",19920911,19920912,5828.0,7
"Southeast Severe Weather (November 1992)","Severe Storm",19921121,19921123,1235.2,26
"Northeast Winter Storm (December 1992)","Winter Storm",19921210,19921213,4668.0,19
"East Coast Blizzard and Severe Weather (March 1993)","Winter Storm",19930311,19930314,10059.1,270
"Northern Plains and Ohio Valley Severe Weather (July 1993)","Severe Storm",19930708,19930710,1159.2,1
"Midwest Flooding (Summer 1993)","Flooding",19930627,19930815,38148.8,48
"Southeast Drought/Heat Wave (Summer 1993)","Drought",19930601,19930831,2289.6,16
"California Wildfires (Fall 1993)","Wildfire",19930901,19931130,2496.1,4
"Winter Storm, Cold Wave (January 1994)","Winter Storm",19940117,19940120,1851.4,70
"Southeast Ice Storm (February 1994)","Winter Storm",19940208,19940213,5335.7,9
"Midwest/Plains Tornadoes (April 1994)","Severe Storm",19940425,19940427,1753.4,3
"Tropical Storm Alberto (July 1994)","Tropical Cyclone",19940707,19940710,1777.3,32
"Texas Flooding (October 1994)","Flooding",19941016,19941025,1780.0,19
"Western Fire Season (Summer-Fall 1994)","Wildfire",19940601,19941130,1290.5,0
"California Flooding (January-March 1995)","Flooding",19950101,19950331,4325.0,27
"South Plains Severe Weather (May 1995)","Severe Storm",19950505,19950507,9491.6,32
"Hurricane Erin (August 1995)","Tropical Cyclone",19950801,19950807,1470.5,6
"Hurricane Marilyn (September 1995)","Tropical Cyclone",19950915,19950917,3633.0,13
"Central, Southern and Northeast Drought/Heatwave (September 1995)","Drought",19950701,19950930,1672.8,872
"Hurricane Opal (October 1995)","Tropical Cyclone",19951004,19951006,8111.9,27
"Blizzard/Floods (January 1996)","Winter Storm",19960101,19960131,5075.1,187
"Pacific Northwest Severe Flooding (February 1996)","Flooding",19960207,19960212,1704.0,9
"Southern Plains Drought (Spring-Summer 1996)","Drought",19960301,19960831,3027.5,0
"Hurricane Fran (September 1996)","Tropical Cyclone",19960905,19960908,8461.8,37
"West Coast Flooding (December 1996-January 1997)","Flooding",19970101,19970111,4947.8,36
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)","Severe Storm",19970228,19970305,1603.4,67
"Northern Plains Flooding (Spring 1997)","Flooding",19970203,19970524,6029.4,11
"Northeast Ice Storm (January 1998)","Winter Storm",19980105,19980109,2256.8,16
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1647.4,132
"Minnesota Severe Storms/Hail (May 1998)","Severe Storm",19980515,19980515,2626.3,1
"Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1832.7,20
"Tropical Storm Frances (September 1998)","Tropical Cyclone",19980808,19980813,1127.0,2
"Hurricane Bonnie (August 1998)","Tropical Cyclone",19980827,19980829,1577.9,3
"Southern Drought/Heat Wave (Summer 1998)","Drought",19980601,19980831,5680.2,200
"Hurricane Georges (September 1998)","Tropical Cyclone",19980920,19980929,9635.1,16
"Texas Flooding (October 1998)","Flooding",19981016,19981024,1516.8,31
"California Freeze (December 1998)","Freeze",19981220,19981228,4025.0,0
"Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1631.4,25
"Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1393.7,0
"Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3179.3,55
"Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,3948.3,502
"Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10255.8,77
"Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1087.2,4
"Western Fire Season (Spring-Summer 2000)","Wildfire",20000301,20000831,1655.5,0
"South Florida Flooding (October 2000)","Flooding",20001003,20001004,1386.0,3
"Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,7695.5,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4611.2,3
"Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,12697.8,43
"Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3077.8,7
"Hurricane Lili (October 2002)","Tropical Cyclone",20020801,20020805,1623.6,2
"Tropical Storm Isidore (September 2002)","Tropical Cyclone",20020925,20020927,1656.0,5
"Eastern Tornadoes and Severe Storms (November 2002)","Severe Storm",20021109,20021111,1036.8,28
"U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13239.5,0
"Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,1944.6,21
"Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,2869.0,3
"Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,5903.7,51
"Midwest/Plains Severe Weather (July 2003)","Severe Storm",20030704,20030709,1227.1,7
